# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	41992	42375	-	XP_003644098.1		XM_003644050.1	hypothetical protein		11470429	Ecym_1022	384	127	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	42723	43682	-						11471757	Ecym_1023	960		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	42723	43682	-	XM_003644051.1		XP_003644099.1	hypothetical protein		11471757	Ecym_1023	960	960	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	42723	43682	-	XP_003644099.1		XM_003644051.1	hypothetical protein		11471757	Ecym_1023	960	319	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	43998	45065	+						11470440	Ecym_1024	1068		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	43998	45065	+	XM_003644052.1		XP_003644100.1	hypothetical protein		11470440	Ecym_1024	1068	1068	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	43998	45065	+	XP_003644100.1		XM_003644052.1	hypothetical protein		11470440	Ecym_1024	1068	355	
gene	other	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	45212	46263	-						11471760	Ecym_1025	1052		partial
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	47273	48559	-						11471761	Ecym_1026	1287		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	47273	48559	-	XM_003644053.1		XP_003644101.1	hypothetical protein		11471761	Ecym_1026	1287	1287	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	47273	48559	-	XP_003644101.1		XM_003644053.1	hypothetical protein		11471761	Ecym_1026	1287	428	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	49258	50034	-						11472975	Ecym_1027	777		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	49258	50034	-	XM_003644054.1		XP_003644102.1	hypothetical protein		11472975	Ecym_1027	777	777	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	49258	50034	-	XP_003644102.1		XM_003644054.1	hypothetical protein		11472975	Ecym_1027	777	258	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	51466	51696	+						11471752	Ecym_1028	231		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	51466	51696	+	XM_003644055.1		XP_003644103.1	hypothetical protein		11471752	Ecym_1028	231	231	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	51466	51696	+	XP_003644103.1		XM_003644055.1	hypothetical protein		11471752	Ecym_1028	231	76	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	53056	55560	+						11472973	Ecym_1029	2505		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	53056	55560	+	XM_003644056.1		XP_003644104.1	hypothetical protein		11472973	Ecym_1029	2505	2505	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	53056	55560	+	XP_003644104.1		XM_003644056.1	hypothetical protein		11472973	Ecym_1029	2505	834	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	56043	57365	+						11470441	Ecym_1030	1323		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	56043	57365	+	XM_003644057.1		XP_003644105.1	hypothetical protein		11470441	Ecym_1030	1323	1323	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	56043	57365	+	XP_003644105.1		XM_003644057.1	hypothetical protein		11470441	Ecym_1030	1323	440	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	57601	59166	+						11470443	Ecym_1031	1566		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	57601	59166	+	XM_003644058.1		XP_003644106.1	hypothetical protein		11470443	Ecym_1031	1566	1566	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	57601	59166	+	XP_003644106.1		XM_003644058.1	hypothetical protein		11470443	Ecym_1031	1566	521	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	59499	61985	+						11471762	Ecym_1032	2487		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	59499	61985	+	XM_003644059.1		XP_003644107.1	hypothetical protein		11471762	Ecym_1032	2487	2487	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	59499	61985	+	XP_003644107.1		XM_003644059.1	hypothetical protein		11471762	Ecym_1032	2487	828	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	62009	62785	-						11470446	Ecym_1033	777		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	62009	62785	-	XM_003644060.1		XP_003644108.1	hypothetical protein		11470446	Ecym_1033	777	777	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	62009	62785	-	XP_003644108.1		XM_003644060.1	hypothetical protein		11470446	Ecym_1033	777	258	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	63050	65254	-						11472972	Ecym_1034	2205		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	63050	65254	-	XM_003644061.1		XP_003644109.1	hypothetical protein		11472972	Ecym_1034	2205	2205	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	63050	65254	-	XP_003644109.1		XM_003644061.1	hypothetical protein		11472972	Ecym_1034	2205	734	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	65506	66714	-						11470439	Ecym_1035	1209		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	65506	66714	-	XM_003644062.1		XP_003644110.1	hypothetical protein		11470439	Ecym_1035	1209	1209	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	65506	66714	-	XP_003644110.1		XM_003644062.1	hypothetical protein		11470439	Ecym_1035	1209	402	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	67085	68629	-						11471759	Ecym_1036	1545		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	67085	68629	-	XM_003644063.1		XP_003644111.1	hypothetical protein		11471759	Ecym_1036	1545	1545	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	67085	68629	-	XP_003644111.1		XM_003644063.1	hypothetical protein		11471759	Ecym_1036	1545	514	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	68913	70013	-						11470444	Ecym_1037	1101		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	68913	70013	-	XM_003644064.1		XP_003644112.1	hypothetical protein		11470444	Ecym_1037	1101	1101	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	68913	70013	-	XP_003644112.1		XM_003644064.1	hypothetical protein		11470444	Ecym_1037	1101	366	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	71144	72628	+						11472974	Ecym_1038	1485		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	71144	72628	+	XM_003644065.1		XP_003644113.1	hypothetical protein		11472974	Ecym_1038	1485	1485	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	71144	72628	+	XP_003644113.1		XM_003644065.1	hypothetical protein		11472974	Ecym_1038	1485	494	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	72890	75073	+						11470445	Ecym_1039	2184		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	72890	75073	+	XM_003644066.1		XP_003644114.1	hypothetical protein		11470445	Ecym_1039	2184	2184	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	72890	75073	+	XP_003644114.1		XM_003644066.1	hypothetical protein		11470445	Ecym_1039	2184	727	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	75258	76760	-						11472976	Ecym_1040	1503		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	75258	76760	-	XM_003644067.1		XP_003644115.1	hypothetical protein		11472976	Ecym_1040	1503	1503	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	75258	76760	-	XP_003644115.1		XM_003644067.1	hypothetical protein		11472976	Ecym_1040	1503	500	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	77509	78969	-						11470447	Ecym_1041	1461		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	77509	78969	-	XM_003644068.1		XP_003644116.1	hypothetical protein		11470447	Ecym_1041	1461	1461	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	77509	78969	-	XP_003644116.1		XM_003644068.1	hypothetical protein		11470447	Ecym_1041	1461	486	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	79488	80993	+						11470449	Ecym_1042	1506		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	79488	80993	+	XM_003644069.1		XP_003644117.1	hypothetical protein		11470449	Ecym_1042	1506	1506	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	79488	80993	+	XP_003644117.1		XM_003644069.1	hypothetical protein		11470449	Ecym_1042	1506	501	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	81747	83750	+						11470448	Ecym_1043	2004		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	81747	83750	+	XM_003644070.1		XP_003644118.1	hypothetical protein		11470448	Ecym_1043	2004	2004	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	81747	83750	+	XP_003644118.1		XM_003644070.1	hypothetical protein		11470448	Ecym_1043	2004	667	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	84062	84538	-						11471763	Ecym_1044	477		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	84062	84538	-	XM_003644071.1		XP_003644119.1	hypothetical protein		11471763	Ecym_1044	477	477	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	84062	84538	-	XP_003644119.1		XM_003644071.1	hypothetical protein		11471763	Ecym_1044	477	158	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	84963	85961	+						11472978	Ecym_1045	999		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	84963	85961	+	XM_003644072.1		XP_003644120.1	hypothetical protein		11472978	Ecym_1045	999	999	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	84963	85961	+	XP_003644120.1		XM_003644072.1	hypothetical protein		11472978	Ecym_1045	999	332	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	86157	86696	-						11470437	Ecym_1046	540		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	86157	86696	-	XM_003644073.1		XP_003644121.1	hypothetical protein		11470437	Ecym_1046	540	540	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	86157	86696	-	XP_003644121.1		XM_003644073.1	hypothetical protein		11470437	Ecym_1046	540	179	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	86908	87162	+						11469542	Ecym_1047	255		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	86908	87162	+	XM_003644074.1		XP_003644122.1	hypothetical protein		11469542	Ecym_1047	255	255	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	86908	87162	+	XP_003644122.1		XM_003644074.1	hypothetical protein		11469542	Ecym_1047	255	84	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	87463	88596	+						11472541	Ecym_1048	1134		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	87463	88596	+	XM_003644075.1		XP_003644123.1	hypothetical protein		11472541	Ecym_1048	1134	1134	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	87463	88596	+	XP_003644123.1		XM_003644075.1	hypothetical protein		11472541	Ecym_1048	1134	377	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	88747	89619	-						11472542	Ecym_1049	873		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	88747	89619	-	XM_003644076.1		XP_003644124.1	hypothetical protein		11472542	Ecym_1049	873	873	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	88747	89619	-	XP_003644124.1		XM_003644076.1	hypothetical protein		11472542	Ecym_1049	873	290	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	89815	90201	-						11471325	Ecym_1050	387		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	89815	90201	-	XM_003644077.1		XP_003644125.1	hypothetical protein		11471325	Ecym_1050	387	387	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	89815	90201	-	XP_003644125.1		XM_003644077.1	hypothetical protein		11471325	Ecym_1050	387	128	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	90570	92990	-						11472543	Ecym_1051	2421		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	90570	92990	-	XM_003644078.1		XP_003644126.1	hypothetical protein		11472543	Ecym_1051	2421	2421	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	90570	92990	-	XP_003644126.1		XM_003644078.1	hypothetical protein		11472543	Ecym_1051	2421	806	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	93652	95130	-						11471326	Ecym_1052	1479		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	93652	95130	-	XM_003644079.1		XP_003644127.1	hypothetical protein		11471326	Ecym_1052	1479	1479	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	93652	95130	-	XP_003644127.1		XM_003644079.1	hypothetical protein		11471326	Ecym_1052	1479	492	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	95920	96471	+						11471327	Ecym_1053	552		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	95920	96471	+	XM_003644080.1		XP_003644128.1	hypothetical protein		11471327	Ecym_1053	552	552	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	95920	96471	+	XP_003644128.1		XM_003644080.1	hypothetical protein		11471327	Ecym_1053	552	183	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	96997	97665	-						11469543	Ecym_1054	669		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	96997	97665	-	XM_003644081.1		XP_003644129.1	hypothetical protein		11469543	Ecym_1054	669	669	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	96997	97665	-	XP_003644129.1		XM_003644081.1	hypothetical protein		11469543	Ecym_1054	669	222	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	99152	100552	+						11469544	Ecym_1055	1401		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	99152	100552	+	XM_003644082.1		XP_003644130.1	hypothetical protein		11469544	Ecym_1055	1401	1401	partial
CDS	with_protein	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	99152	100552	+	XP_003644130.1		XM_003644082.1	hypothetical protein		11469544	Ecym_1055	1401	466	
gene	protein_coding	GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	102260	104080	+						11471328	Ecym_1056	1821		partial
mRNA		GCF_000235365.1	Primary Assembly	chromosome	1	NC_016449.1	102260	104080	+	XM_003644083.1		XP_003644131.1	hypothetical protein		11471328	Ecym_1056	1821	1821	partial
