# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	21715	23943	-	XM_003865810.1		XP_003865858.1	hypothetical protein		14537267	CORT_0A00220	2229	2229	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	21715	23943	-	XP_003865858.1		XM_003865810.1	hypothetical protein		14537267	CORT_0A00220	2229	742	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	24248	24769	+						14537381	CORT_0A00230	522		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	24248	24769	+	XM_003865811.1		XP_003865859.1	hypothetical protein		14537381	CORT_0A00230	522	522	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	24248	24769	+	XP_003865859.1		XM_003865811.1	hypothetical protein		14537381	CORT_0A00230	522	173	
gene	pseudogene	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	25599	26489	+						14537744	CORT_0A00240	891		pseudo
CDS	without_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	25599	26489	+						14537744	CORT_0A00240	891		pseudo
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	26924	27937	+						14537684	CORT_0A00250	1014		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	26924	27937	+	XM_003865812.1		XP_003865860.1	ornithine transport protein		14537684	CORT_0A00250	1014	1014	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	26924	27937	+	XP_003865860.1		XM_003865812.1	ornithine transport protein		14537684	CORT_0A00250	1014	337	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	27961	33585	-						14537162	CORT_0A00260	5625		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	27961	33585	-	XM_003865813.1		XP_003865861.1	hypothetical protein		14537162	CORT_0A00260	5625	5625	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	27961	33585	-	XP_003865861.1		XM_003865813.1	hypothetical protein		14537162	CORT_0A00260	5625	1874	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	36873	37691	+						14537480	CORT_0A00270	819		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	36873	37691	+	XM_003865814.1		XP_003865862.1	Aqy1 aquaporin water channel		14537480	CORT_0A00270	819	819	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	36873	37691	+	XP_003865862.1		XM_003865814.1	Aqy1 aquaporin water channel		14537480	CORT_0A00270	819	272	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	37988	40123	-						14537593	CORT_0A00280	2136		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	37988	40123	-	XM_003865815.1		XP_003865863.1	Atg13 protein		14537593	CORT_0A00280	2136	2136	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	37988	40123	-	XP_003865863.1		XM_003865815.1	Atg13 protein		14537593	CORT_0A00280	2136	711	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	41556	43445	+						14536877	CORT_0A00290	1890		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	41556	43445	+	XM_003865816.1		XP_003865864.1	Rpc82 protein		14536877	CORT_0A00290	1890	1890	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	41556	43445	+	XP_003865864.1		XM_003865816.1	Rpc82 protein		14536877	CORT_0A00290	1890	629	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	43504	43875	-						14537247	CORT_0A00300	372		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	43504	43875	-	XM_003865817.1		XP_003865865.1	hypothetical protein		14537247	CORT_0A00300	372	372	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	43504	43875	-	XP_003865865.1		XM_003865817.1	hypothetical protein		14537247	CORT_0A00300	372	123	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	44175	46529	-						14537466	CORT_0A00310	2355		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	44175	46529	-	XM_003865818.1		XP_003865866.1	hypothetical protein		14537466	CORT_0A00310	2355	2355	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	44175	46529	-	XP_003865866.1		XM_003865818.1	hypothetical protein		14537466	CORT_0A00310	2355	784	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	46895	47494	-						14537089	CORT_0A00320	600		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	46895	47494	-	XM_003865819.1		XP_003865867.1	Rho1 GTPase		14537089	CORT_0A00320	600	600	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	46895	47494	-	XP_003865867.1		XM_003865819.1	Rho1 GTPase		14537089	CORT_0A00320	600	199	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	50852	53344	+						14537257	CORT_0A00330	2493		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	50852	53344	+	XM_003865820.1		XP_003865868.1	Gzf3 transcription factor		14537257	CORT_0A00330	2493	2493	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	50852	53344	+	XP_003865868.1		XM_003865820.1	Gzf3 transcription factor		14537257	CORT_0A00330	2493	830	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	53450	55132	-						14536852	CORT_0A00340	1683		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	53450	55132	-	XM_003865821.1		XP_003865869.1	Pgm2 phosphoglucomutase		14536852	CORT_0A00340	1683	1683	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	53450	55132	-	XP_003865869.1		XM_003865821.1	Pgm2 phosphoglucomutase		14536852	CORT_0A00340	1683	560	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	56195	58303	-						14537283	CORT_0A00350	2109		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	56195	58303	-	XM_003865822.1		XP_003865870.1	Ifc1 oligopeptide transporter		14537283	CORT_0A00350	2109	2109	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	56195	58303	-	XP_003865870.1		XM_003865822.1	Ifc1 oligopeptide transporter		14537283	CORT_0A00350	2109	702	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	61009	63270	-						14537551	CORT_0A00360	2262		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	61009	63270	-	XM_003865823.1		XP_003865871.1	hypothetical protein		14537551	CORT_0A00360	2262	2262	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	61009	63270	-	XP_003865871.1		XM_003865823.1	hypothetical protein		14537551	CORT_0A00360	2262	753	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	67136	71029	+						14537410	CORT_0A00370	3894		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	67136	71029	+	XM_003865824.1		XP_003865872.1	Lrg1 protein		14537410	CORT_0A00370	3894	3894	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	67136	71029	+	XP_003865872.1		XM_003865824.1	Lrg1 protein		14537410	CORT_0A00370	3894	1297	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	71234	71497	+						14537245	CORT_0A00380	264		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	71234	71497	+	XM_003865825.1		XP_003865873.1	Fra2 protein		14537245	CORT_0A00380	264	264	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	71234	71497	+	XP_003865873.1		XM_003865825.1	Fra2 protein		14537245	CORT_0A00380	264	87	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	71734	73212	-						14536914	CORT_0A00390	1479		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	71734	73212	-	XM_003865826.1		XP_003865874.1	membrane transporter		14536914	CORT_0A00390	1479	1479	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	71734	73212	-	XP_003865874.1		XM_003865826.1	membrane transporter		14536914	CORT_0A00390	1479	492	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	73987	75321	+						14537601	CORT_0A00400	1335		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	73987	75321	+	XM_003865827.1		XP_003865875.1	hypothetical protein		14537601	CORT_0A00400	1335	1335	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	73987	75321	+	XP_003865875.1		XM_003865827.1	hypothetical protein		14537601	CORT_0A00400	1335	444	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	75703	80466	+						14537590	CORT_0A00410	4764		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	75703	80466	+	XM_003865828.1		XP_003865876.1	hypothetical protein		14537590	CORT_0A00410	4764	4764	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	75703	80466	+	XP_003865876.1		XM_003865828.1	hypothetical protein		14537590	CORT_0A00410	4764	1587	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	80481	82130	-						14537200	CORT_0A00420	1650		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	80481	82130	-	XM_003865829.1		XP_003865877.1	Swc4 subunit of the NuA4 histone acetyltransferase complex		14537200	CORT_0A00420	1650	1650	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	80481	82130	-	XP_003865877.1		XM_003865829.1	Swc4 subunit of the NuA4 histone acetyltransferase complex		14537200	CORT_0A00420	1650	549	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	82249	84807	-						14536996	CORT_0A00430	2559		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	82249	84807	-	XM_003865830.1		XP_003865878.1	hypothetical protein		14536996	CORT_0A00430	2559	2559	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	82249	84807	-	XP_003865878.1		XM_003865830.1	hypothetical protein		14536996	CORT_0A00430	2559	852	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	89776	92082	+						14536865	CORT_0A00440	2307		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	89776	92082	+	XM_003865831.1		XP_003865879.1	Leu1 3-isopropylmalate dehydratase		14536865	CORT_0A00440	2307	2307	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	89776	92082	+	XP_003865879.1		XM_003865831.1	Leu1 3-isopropylmalate dehydratase		14536865	CORT_0A00440	2307	768	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	92159	93355	-						14537169	CORT_0A00450	1197		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	92159	93355	-	XM_003865832.1		XP_003865880.1	nicotinic acid mononucleotide adenylyltransferase		14537169	CORT_0A00450	1197	1197	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	92159	93355	-	XP_003865880.1		XM_003865832.1	nicotinic acid mononucleotide adenylyltransferase		14537169	CORT_0A00450	1197	398	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	93900	94154	+						14537550	CORT_0A00460	255		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	93900	94154	+	XM_003865833.1		XP_003865881.1	hypothetical protein		14537550	CORT_0A00460	255	255	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	93900	94154	+	XP_003865881.1		XM_003865833.1	hypothetical protein		14537550	CORT_0A00460	255	84	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	94575	96992	+						14536935	CORT_0A00470	2418		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	94575	96992	+	XM_003865834.1		XP_003865882.1	Pxa1 transporter		14536935	CORT_0A00470	2418	2418	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	94575	96992	+	XP_003865882.1		XM_003865834.1	Pxa1 transporter		14536935	CORT_0A00470	2418	805	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	97238	98503	+						14537383	CORT_0A00480	1266		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	97238	98503	+	XM_003865835.1		XP_003865883.1	nucleosome assembly protein		14537383	CORT_0A00480	1266	1266	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	97238	98503	+	XP_003865883.1		XM_003865835.1	nucleosome assembly protein		14537383	CORT_0A00480	1266	421	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	102791	103591	+						14536886	CORT_0A00490	801		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	102791	103591	+	XM_003865836.1		XP_003865884.1	hypothetical protein		14536886	CORT_0A00490	801	801	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	102791	103591	+	XP_003865884.1		XM_003865836.1	hypothetical protein		14536886	CORT_0A00490	801	266	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	103861	105066	-						14537657	CORT_0A00500	1206		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	103861	105066	-	XM_003865837.1		XP_003865885.1	Cda2 chitin deacetylase		14537657	CORT_0A00500	1206	1206	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	103861	105066	-	XP_003865885.1		XM_003865837.1	Cda2 chitin deacetylase		14537657	CORT_0A00500	1206	401	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	105288	106712	-						14537071	CORT_0A00510	1425		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	105288	106712	-	XM_003865838.1		XP_003865886.1	Rtt109 hypothetical proteinistone acetyltransferase		14537071	CORT_0A00510	1425	1425	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	105288	106712	-	XP_003865886.1		XM_003865838.1	Rtt109 hypothetical proteinistone acetyltransferase		14537071	CORT_0A00510	1425	474	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	109454	111088	+						14537720	CORT_0A00530	1635		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	109454	111088	+	XM_003865839.1		XP_003865887.1	Ino2 transcriptional activator		14537720	CORT_0A00530	1635	1635	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	109454	111088	+	XP_003865887.1		XM_003865839.1	Ino2 transcriptional activator		14537720	CORT_0A00530	1635	544	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	111458	112867	+						14537293	CORT_0A00540	1410		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	111458	112867	+	XM_003865840.1		XP_003865888.1	hypothetical protein		14537293	CORT_0A00540	1410	1410	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	111458	112867	+	XP_003865888.1		XM_003865840.1	hypothetical protein		14537293	CORT_0A00540	1410	469	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	113067	117140	-						14537282	CORT_0A00550	4074		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	113067	117140	-	XM_003865841.1		XP_003865889.1	Kin2 protein		14537282	CORT_0A00550	4074	4074	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	113067	117140	-	XP_003865889.1		XM_003865841.1	Kin2 protein		14537282	CORT_0A00550	4074	1357	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	117852	118447	-						14537686	CORT_0A00560	596		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	117852	118447	-	XM_003865842.1		XP_003865890.1	Atp17 mitochondrial ATPase complex subunit		14537686	CORT_0A00560	297	297	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	117852	118447	-	XP_003865890.1		XM_003865842.1	Atp17 mitochondrial ATPase complex subunit		14537686	CORT_0A00560	297	98	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	118865	119169	-						14537567	CORT_0A00570	305		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	118865	119169	-	XM_003865843.1		XP_003865891.1	Lsm6 Lsm protein		14537567	CORT_0A00570	240	240	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	118865	119169	-	XP_003865891.1		XM_003865843.1	Lsm6 Lsm protein		14537567	CORT_0A00570	240	79	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	119287	124725	-						14537187	CORT_0A00580	5439		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	119287	124725	-	XM_003865844.1		XP_003865892.1	Nup192 protein		14537187	CORT_0A00580	5439	5439	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	119287	124725	-	XP_003865892.1		XM_003865844.1	Nup192 protein		14537187	CORT_0A00580	5439	1812	
gene	pseudogene	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	125858	126046	+						14536767	CORT_0A00590	189		pseudo
CDS	without_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	125858	126046	+						14536767	CORT_0A00590	189		pseudo
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	132656	134320	-						14537453	CORT_0A00610	1665		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	132656	134320	-	XM_003865845.1		XP_003865893.1	Pck1 phosphoenolpyruvate carboxykinase		14537453	CORT_0A00610	1665	1665	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	132656	134320	-	XP_003865893.1		XM_003865845.1	Pck1 phosphoenolpyruvate carboxykinase		14537453	CORT_0A00610	1665	554	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	135788	138619	-						14537285	CORT_0A00620	2832		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	135788	138619	-	XM_003865846.1		XP_003865894.1	hypothetical protein		14537285	CORT_0A00620	2832	2832	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	135788	138619	-	XP_003865894.1		XM_003865846.1	hypothetical protein		14537285	CORT_0A00620	2832	943	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	139253	141103	+						14536867	CORT_0A00630	1851		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	139253	141103	+	XM_003865847.1		XP_003865895.1	Yen1 protein		14536867	CORT_0A00630	1851	1851	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	139253	141103	+	XP_003865895.1		XM_003865847.1	Yen1 protein		14536867	CORT_0A00630	1851	616	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	141229	145602	+						14537679	CORT_0A00640	4374		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	141229	145602	+	XM_003865848.1		XP_003865896.1	hypothetical protein		14537679	CORT_0A00640	4374	4374	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	141229	145602	+	XP_003865896.1		XM_003865848.1	hypothetical protein		14537679	CORT_0A00640	4374	1457	
gene	protein_coding	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	145606	146742	-						14537725	CORT_0A00650	1137		partial
mRNA		GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	145606	146742	-	XM_003865849.1		XP_003865897.1	Rrd1 peptidyl-prolyl cis/trans-isomerase		14537725	CORT_0A00650	1137	1137	partial
CDS	with_protein	GCF_000315875.1	Primary Assembly	chromosome	1	NC_018292.1	145606	146742	-	XP_003865897.1		XM_003865849.1	Rrd1 peptidyl-prolyl cis/trans-isomerase		14537725	CORT_0A00650	1137	378	
