# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	26920	29043	+	XP_002421617.1		XM_002421572.1	conserved hypothetical protein		8050031	CD36_25130	2124	707	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	29040	30569	-					MKC1	8050032	CD36_25140	1530		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	29040	30569	-	XM_002421573.1		XP_002421618.1	mitogen-activated protein kinase, putative	MKC1	8050032	CD36_25140	1530	1530	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	29040	30569	-	XP_002421618.1		XM_002421573.1	mitogen-activated protein kinase, putative	MKC1	8050032	CD36_25140	1530	509	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	31426	32598	-						8049698	CD36_25150	1173		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	31426	32598	-	XM_002421574.1		XP_002421619.1	aminotransferase, putative		8049698	CD36_25150	1173	1173	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	31426	32598	-	XP_002421619.1		XM_002421574.1	aminotransferase, putative		8049698	CD36_25150	1173	390	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	35270	37357	+						8050033	CD36_25160	2088		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	35270	37357	+	XM_002421575.1		XP_002421620.1	conserved hypothetical protein		8050033	CD36_25160	2088	2088	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	35270	37357	+	XP_002421620.1		XM_002421575.1	conserved hypothetical protein		8050033	CD36_25160	2088	695	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	37579	38805	-						8050034	CD36_25170	1227		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	37579	38805	-	XM_002421576.1		XP_002421621.1	3-ketoacyl-CoA thiolase A, peroxisomal precursor, putative		8050034	CD36_25170	1227	1227	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	37579	38805	-	XP_002421621.1		XM_002421576.1	3-ketoacyl-CoA thiolase A, peroxisomal precursor, putative		8050034	CD36_25170	1227	408	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	39429	39869	-						8050035	CD36_25180	441		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	39429	39869	-	XM_002421577.1		XP_002421622.1	3-ketoacyl-coa thiolase, putative		8050035	CD36_25180	441	441	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	39429	39869	-	XP_002421622.1		XM_002421577.1	3-ketoacyl-coa thiolase, putative		8050035	CD36_25180	441	146	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	40229	41971	+						8050036	CD36_25190	1743		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	40229	41971	+	XM_002421578.1		XP_002421623.1	transcription factor with zinc cluster DNA-binding motif, putative		8050036	CD36_25190	1743	1743	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	40229	41971	+	XP_002421623.1		XM_002421578.1	transcription factor with zinc cluster DNA-binding motif, putative		8050036	CD36_25190	1743	580	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	41958	43319	-					CHT1	8050037	CD36_25200	1362		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	41958	43319	-	XM_002421579.1		XP_002421624.1	chitinase precursor, putative	CHT1	8050037	CD36_25200	1362	1362	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	41958	43319	-	XP_002421624.1		XM_002421579.1	chitinase precursor, putative	CHT1	8050037	CD36_25200	1362	453	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	44208	47090	+						8049680	CD36_25210	2883		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	44208	47090	+	XM_002421580.1		XP_002421625.1	beta-n-acetylglucosaminidase, putative		8049680	CD36_25210	2883	2883	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	44208	47090	+	XP_002421625.1		XM_002421580.1	beta-n-acetylglucosaminidase, putative		8049680	CD36_25210	2883	960	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	48333	49994	+					PCK1	8050038	CD36_25230	1662		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	48333	49994	+	XM_002421581.1		XP_002421626.1	phosphoenolpyruvate carboxykinase, putative	PCK1	8050038	CD36_25230	1662	1662	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	48333	49994	+	XP_002421626.1		XM_002421581.1	phosphoenolpyruvate carboxykinase, putative	PCK1	8050038	CD36_25230	1662	553	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	51063	52646	+					CYP52A14	8049703	CD36_25250	1584		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	51063	52646	+	XM_002421582.1		XP_002421627.1	cyp52a14 (cytochrome p450), putative	CYP52A14	8049703	CD36_25250	1584	1584	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	51063	52646	+	XP_002421627.1		XM_002421582.1	cyp52a14 (cytochrome p450), putative	CYP52A14	8049703	CD36_25250	1584	527	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	53587	55203	+					ALK3-A	8049683	CD36_25260	1617		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	53587	55203	+	XM_002421583.1		XP_002421628.1	N-alkane inducible cytochrome P-450, putative	ALK3-A	8049683	CD36_25260	1617	1617	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	53587	55203	+	XP_002421628.1		XM_002421583.1	N-alkane inducible cytochrome P-450, putative	ALK3-A	8049683	CD36_25260	1617	538	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	55389	60938	+						8049671	CD36_25270	5550		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	55389	60938	+	XM_002421584.1		XP_002421629.1	nuclear pore protein, putative		8049671	CD36_25270	5550	5550	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	55389	60938	+	XP_002421629.1		XM_002421584.1	nuclear pore protein, putative		8049671	CD36_25270	5550	1849	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	61036	61337	+						8050039	CD36_25280	302		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	61036	61337	+	XM_002421585.1		XP_002421630.1	U6 snRNA-associated Sm-like protein Lsm6, putative		8050039	CD36_25280	243	243	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	61036	61337	+	XP_002421630.1		XM_002421585.1	U6 snRNA-associated Sm-like protein Lsm6, putative		8050039	CD36_25280	243	80	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	61552	61917	+						8050040	CD36_25290	366		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	61552	61917	+	XM_002421586.1		XP_002421631.1	ATP synthase f chain, mitochondrial precursor, putative		8050040	CD36_25290	309	309	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	61552	61917	+	XP_002421631.1		XM_002421586.1	ATP synthase f chain, mitochondrial precursor, putative		8050040	CD36_25290	309	102	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	62490	66122	+						8050041	CD36_25300	3633		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	62490	66122	+	XM_002421587.1		XP_002421632.1	protein kinase Kin1 homologue, putative		8050041	CD36_25300	3633	3633	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	62490	66122	+	XP_002421632.1		XM_002421587.1	protein kinase Kin1 homologue, putative		8050041	CD36_25300	3633	1210	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	66145	66477	-						8050042	CD36_25310	333		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	66145	66477	-	XM_002421588.1		XP_002421633.1	conserved hypothetical protein		8050042	CD36_25310	333	333	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	66145	66477	-	XP_002421633.1		XM_002421588.1	conserved hypothetical protein		8050042	CD36_25310	333	110	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	66544	67782	-						8050043	CD36_25320	1239		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	66544	67782	-	XM_002421589.1		XP_002421634.1	conserved hypothetical protein		8050043	CD36_25320	1239	1239	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	66544	67782	-	XP_002421634.1		XM_002421589.1	conserved hypothetical protein		8050043	CD36_25320	1239	412	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	70726	71700	+						8050044	CD36_25330	975		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	70726	71700	+	XM_002421590.1		XP_002421635.1	conserved hypothetical protein		8050044	CD36_25330	975	975	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	70726	71700	+	XP_002421635.1		XM_002421590.1	conserved hypothetical protein		8050044	CD36_25330	975	324	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	72070	73230	+						8050045	CD36_25340	1161		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	72070	73230	+	XM_002421591.1		XP_002421636.1	chitin deacetylase 2 precursor, putative		8050045	CD36_25340	1161	1161	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	72070	73230	+	XP_002421636.1		XM_002421591.1	chitin deacetylase 2 precursor, putative		8050045	CD36_25340	1161	386	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	74965	75741	-						8050046	CD36_25350	777		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	74965	75741	-	XM_002421592.1		XP_002421637.1	conserved hypothetical protein		8050046	CD36_25350	777	777	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	74965	75741	-	XP_002421637.1		XM_002421592.1	conserved hypothetical protein		8050046	CD36_25350	777	258	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	82112	83497	-						8050047	CD36_25370	1386		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	82112	83497	-	XM_002421593.1		XP_002421638.1	nucleosome assembly protein, putative		8050047	CD36_25370	1386	1386	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	82112	83497	-	XP_002421638.1		XM_002421593.1	nucleosome assembly protein, putative		8050047	CD36_25370	1386	461	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	83885	84328	-						8050048	CD36_25380	444		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	83885	84328	-	XM_002421594.1		XP_002421639.1	polyprotein of l1-like non-ltr retrotransposon zorro 3, putative		8050048	CD36_25380	444	444	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	83885	84328	-	XP_002421639.1		XM_002421594.1	polyprotein of l1-like non-ltr retrotransposon zorro 3, putative		8050048	CD36_25380	444	147	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	88022	88420	-						8050049	CD36_25390	399		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	88022	88420	-	XM_002421595.1		XP_002421640.1	non-ltr retrotransposon zorro 3 orf1-related protein, putative		8050049	CD36_25390	399	399	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	88022	88420	-	XP_002421640.1		XM_002421595.1	non-ltr retrotransposon zorro 3 orf1-related protein, putative		8050049	CD36_25390	399	132	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	88553	88792	-						8050050	CD36_25400	240		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	88553	88792	-	XM_002421596.1		XP_002421641.1	non-ltr retrotransposon zorro 3 orf1-related protein, putative		8050050	CD36_25400	240	240	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	88553	88792	-	XP_002421641.1		XM_002421596.1	non-ltr retrotransposon zorro 3 orf1-related protein, putative		8050050	CD36_25400	240	79	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	89576	90394	+						8050051	CD36_25410	819		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	89576	90394	+	XM_002421597.1		XP_002421642.1	transposable element protein, putative		8050051	CD36_25410	819	819	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	89576	90394	+	XP_002421642.1		XM_002421597.1	transposable element protein, putative		8050051	CD36_25410	819	272	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	90619	91830	+						8050052	CD36_25420	1212		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	90619	91830	+	XM_002421598.1		XP_002421643.1	reverse transcriptase (fragment), putative		8050052	CD36_25420	1212	1212	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	90619	91830	+	XP_002421643.1		XM_002421598.1	reverse transcriptase (fragment), putative		8050052	CD36_25420	1212	403	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	92457	92996	+						8050053	CD36_25430	540		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	92457	92996	+	XM_002421599.1		XP_002421644.1	polyprotein (fragment), putative		8050053	CD36_25430	540	540	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	92457	92996	+	XP_002421644.1		XM_002421599.1	polyprotein (fragment), putative		8050053	CD36_25430	540	179	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	94585	96882	-						8050054	CD36_25450	2298		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	94585	96882	-	XM_002421600.1		XP_002421645.1	peroxisomal long-chain fatty acid import protein, putative		8050054	CD36_25450	2298	2298	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	94585	96882	-	XP_002421645.1		XM_002421600.1	peroxisomal long-chain fatty acid import protein, putative		8050054	CD36_25450	2298	765	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	98711	99907	+						8050055	CD36_25480	1197		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	98711	99907	+	XM_002421601.1		XP_002421646.1	nicotinamide-nucleotide adenylyltransferase, putative		8050055	CD36_25480	1197	1197	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	98711	99907	+	XP_002421646.1		XM_002421601.1	nicotinamide-nucleotide adenylyltransferase, putative		8050055	CD36_25480	1197	398	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	100075	102525	-					LEU1	8050056	CD36_25490	2451		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	100075	102525	-	XM_002421602.1		XP_002421647.1	3-isopropylmalate dehydratase, putative	LEU1	8050056	CD36_25490	2451	2451	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	100075	102525	-	XP_002421647.1		XM_002421602.1	3-isopropylmalate dehydratase, putative	LEU1	8050056	CD36_25490	2451	816	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	102890	105463	+						8049696	CD36_25510	2574		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	102890	105463	+	XM_002421603.1		XP_002421648.1	conserved hypothetical protein		8049696	CD36_25510	2574	2574	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	102890	105463	+	XP_002421648.1		XM_002421603.1	conserved hypothetical protein		8049696	CD36_25510	2574	857	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	105822	107120	+						8050057	CD36_25520	1299		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	105822	107120	+	XM_002421604.1		XP_002421649.1	nadph dehydrogenase, (old yellow enzyme), putative		8050057	CD36_25520	1299	1299	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	105822	107120	+	XP_002421649.1		XM_002421604.1	nadph dehydrogenase, (old yellow enzyme), putative		8050057	CD36_25520	1299	432	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	107517	112634	+						8050058	CD36_25530	5118		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	107517	112634	+	XM_002421605.1		XP_002421650.1	conserved hypothetical protein		8050058	CD36_25530	5118	5118	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	107517	112634	+	XP_002421650.1		XM_002421605.1	conserved hypothetical protein		8050058	CD36_25530	5118	1705	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	112662	114596	-						8050059	CD36_25540	1935		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	112662	114596	-	XM_002421606.1		XP_002421651.1	ESA1-associated factor, putative		8050059	CD36_25540	1935	1935	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	112662	114596	-	XP_002421651.1		XM_002421606.1	ESA1-associated factor, putative		8050059	CD36_25540	1935	644	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	114786	115877	+						8050060	CD36_25550	1092		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	114786	115877	+	XM_002421607.1		XP_002421652.1	regulator of ty1 transposition protein, putative		8050060	CD36_25550	1092	1092	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	114786	115877	+	XP_002421652.1		XM_002421607.1	regulator of ty1 transposition protein, putative		8050060	CD36_25550	1092	363	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	116407	117996	+						8050061	CD36_25560	1590		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	116407	117996	+	XM_002421608.1		XP_002421653.1	bypass of stop codon protein, putative		8050061	CD36_25560	1590	1590	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	116407	117996	+	XP_002421653.1		XM_002421608.1	bypass of stop codon protein, putative		8050061	CD36_25560	1590	529	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	118115	118384	-						8050062	CD36_25570	270		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	118115	118384	-	XM_002421609.1		XP_002421654.1	BolA domain protein, putative		8050062	CD36_25570	270	270	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	118115	118384	-	XP_002421654.1		XM_002421609.1	BolA domain protein, putative		8050062	CD36_25570	270	89	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	118747	123120	-						8050063	CD36_25580	4374		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	118747	123120	-	XM_002421610.1		XP_002421655.1	Rho-GTPase-activating protein, putative		8050063	CD36_25580	4374	4374	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	118747	123120	-	XP_002421655.1		XM_002421610.1	Rho-GTPase-activating protein, putative		8050063	CD36_25580	4374	1457	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	128242	128793	-						8050064	CD36_25590	552		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	128242	128793	-	XM_002421611.1		XP_002421656.1	U3 small nucleolar ribonucleoprotein protein, putative		8050064	CD36_25590	552	552	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	128242	128793	-	XP_002421656.1		XM_002421611.1	U3 small nucleolar ribonucleoprotein protein, putative		8050064	CD36_25590	552	183	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	129045	129740	+						8050065	CD36_25600	696		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	129045	129740	+	XM_002421612.1		XP_002421657.1	mitochondrial 54S ribosomal protein YmL16		8050065	CD36_25600	696	696	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	129045	129740	+	XP_002421657.1		XM_002421612.1	mitochondrial 54S ribosomal protein YmL16		8050065	CD36_25600	696	231	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	129995	130876	+						8050066	CD36_25610	882		partial
mRNA		GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	129995	130876	+	XM_002421613.1		XP_002421658.1	mitochondrial 54S ribosomal protein YmL9		8050066	CD36_25610	882	882	partial
CDS	with_protein	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	129995	130876	+	XP_002421658.1		XM_002421613.1	mitochondrial 54S ribosomal protein YmL9		8050066	CD36_25610	882	293	
gene	protein_coding	GCF_000026945.1	Primary Assembly	chromosome	R	NC_012867.1	131664	132539	-					ADE1	8050067	CD36_25620	876		partial
