# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	31588	32205	-	NP_982366.1		NM_207719.1	AAL176Cp		4618519	AGOS_AAL176C	618	205	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	32874	35525	+						4618426	AGOS_AAL175W	2652		partial;old_locus_tag=AAL175W
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	32874	35525	+	NM_207720.1		NP_982367.1	AAL175Wp		4618426	AGOS_AAL175W	2652	2652	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	32874	35525	+	NP_982367.1		NM_207720.1	AAL175Wp		4618426	AGOS_AAL175W	2652	883	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	35718	37988	-						4618591	AGOS_AAL174C	2271		partial;old_locus_tag=AAL174C
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	35718	37988	-	NM_207721.1		NP_982368.1	AAL174Cp		4618591	AGOS_AAL174C	2271	2271	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	35718	37988	-	NP_982368.1		NM_207721.1	AAL174Cp		4618591	AGOS_AAL174C	2271	756	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	38265	39527	-						4618402	AGOS_AAL173C	1263		partial;old_locus_tag=AAL173C
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	38265	39527	-	NM_207722.1		NP_982369.1	AAL173Cp		4618402	AGOS_AAL173C	1263	1263	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	38265	39527	-	NP_982369.1		NM_207722.1	AAL173Cp		4618402	AGOS_AAL173C	1263	420	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	39647	40350	-						4618797	AGOS_AAL172C	704		partial;old_locus_tag=AAL172C
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	39647	40350	-	NM_207723.1		NP_982370.1	AAL172Cp		4618797	AGOS_AAL172C	648	648	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	39647	40350	-	NP_982370.1		NM_207723.1	AAL172Cp		4618797	AGOS_AAL172C	648	215	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	40611	43586	+						4618568	AGOS_AAL171W	2976		partial;old_locus_tag=AAL171W
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	40611	43586	+	NM_207724.1		NP_982371.1	AAL171Wp		4618568	AGOS_AAL171W	2976	2976	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	40611	43586	+	NP_982371.1		NM_207724.1	AAL171Wp		4618568	AGOS_AAL171W	2976	991	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	43827	45236	+						4618566	AGOS_AAL170W	1410		partial;old_locus_tag=AAL170W
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	43827	45236	+	NM_207725.1		NP_982372.1	AAL170Wp		4618566	AGOS_AAL170W	1410	1410	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	43827	45236	+	NP_982372.1		NM_207725.1	AAL170Wp		4618566	AGOS_AAL170W	1410	469	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	45296	47227	-						4618411	AGOS_AAL169C	1932		partial;old_locus_tag=AAL169C
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	45296	47227	-	NM_207726.1		NP_982373.1	AAL169Cp		4618411	AGOS_AAL169C	1932	1932	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	45296	47227	-	NP_982373.1		NM_207726.1	AAL169Cp		4618411	AGOS_AAL169C	1932	643	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	47497	47862	-						4618435	AGOS_AAL168C	366		partial;old_locus_tag=AAL168C
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	47497	47862	-	NM_207727.1		NP_982374.1	AAL168Cp		4618435	AGOS_AAL168C	366	366	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	47497	47862	-	NP_982374.1		NM_207727.1	AAL168Cp		4618435	AGOS_AAL168C	366	121	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	48049	50940	+						4618453	AGOS_AAL167W	2892		partial;old_locus_tag=AAL167W
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	48049	50940	+	NM_207728.1		NP_982375.1	AAL167Wp		4618453	AGOS_AAL167W	2892	2892	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	48049	50940	+	NP_982375.1		NM_207728.1	AAL167Wp		4618453	AGOS_AAL167W	2892	963	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	50981	52315	-						4618775	AGOS_AAL166C	1335		partial;old_locus_tag=AAL166C
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	50981	52315	-	NM_207729.1		NP_982376.1	AAL166Cp		4618775	AGOS_AAL166C	1335	1335	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	50981	52315	-	NP_982376.1		NM_207729.1	AAL166Cp		4618775	AGOS_AAL166C	1335	444	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	53020	55020	+						4618545	AGOS_AAL165W	2001		partial;old_locus_tag=AAL165W
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	53020	55020	+	NM_207730.2		NP_982377.1	AAL165Wp		4618545	AGOS_AAL165W	2001	2001	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	53020	55020	+	NP_982377.1		NM_207730.2	AAL165Wp		4618545	AGOS_AAL165W	2001	666	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	55223	57427	-						4618422	AGOS_AAL164C	2205		partial;old_locus_tag=AAL164C
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	55223	57427	-	NM_207731.1		NP_982378.1	AAL164Cp		4618422	AGOS_AAL164C	2205	2205	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	55223	57427	-	NP_982378.1		NM_207731.1	AAL164Cp		4618422	AGOS_AAL164C	2205	734	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	57819	58418	+						4618722	AGOS_AAL163W	600		partial;old_locus_tag=AAL163W
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	57819	58418	+	NM_207732.1		NP_982379.1	AAL163Wp		4618722	AGOS_AAL163W	600	600	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	57819	58418	+	NP_982379.1		NM_207732.1	AAL163Wp		4618722	AGOS_AAL163W	600	199	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	58565	64189	-						4618479	AGOS_AAL162C	5625		partial;old_locus_tag=AAL162C
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	58565	64189	-	NM_207733.2		NP_982380.1	AAL162Cp		4618479	AGOS_AAL162C	5625	5625	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	58565	64189	-	NP_982380.1		NM_207733.2	AAL162Cp		4618479	AGOS_AAL162C	5625	1874	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	64596	64790	+						4618474	AGOS_AAL161W	195		partial;old_locus_tag=AAL161W
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	64596	64790	+	NM_207734.1		NP_982381.1	AAL161Wp		4618474	AGOS_AAL161W	195	195	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	64596	64790	+	NP_982381.1		NM_207734.1	AAL161Wp		4618474	AGOS_AAL161W	195	64	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	64921	65880	+						4618595	AGOS_AAL160W	960		partial;old_locus_tag=AAL160W
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	64921	65880	+	NM_207735.1		NP_982382.1	AAL160Wp		4618595	AGOS_AAL160W	960	960	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	64921	65880	+	NP_982382.1		NM_207735.1	AAL160Wp		4618595	AGOS_AAL160W	960	319	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	65961	67118	-						4618490	AGOS_AAL159C	1158		partial;old_locus_tag=AAL159C
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	65961	67118	-	NM_207736.1		NP_982383.1	AAL159Cp		4618490	AGOS_AAL159C	1158	1158	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	65961	67118	-	NP_982383.1		NM_207736.1	AAL159Cp		4618490	AGOS_AAL159C	1158	385	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	67892	69328	+						4618619	AGOS_AAL158W	1437		partial;old_locus_tag=AAL158W
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	67892	69328	+	NM_207737.1		NP_982384.1	AAL158Wp		4618619	AGOS_AAL158W	1437	1437	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	67892	69328	+	NP_982384.1		NM_207737.1	AAL158Wp		4618619	AGOS_AAL158W	1437	478	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	70077	71516	-						4618455	AGOS_AAL157C	1440		partial;old_locus_tag=AAL157C
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	70077	71516	-	NM_207738.1		NP_982385.1	AAL157Cp		4618455	AGOS_AAL157C	1440	1440	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	70077	71516	-	NP_982385.1		NM_207738.1	AAL157Cp		4618455	AGOS_AAL157C	1440	479	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	71775	73298	-						4618531	AGOS_AAL156C	1524		partial;old_locus_tag=AAL156C
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	71775	73298	-	NM_207739.1		NP_982386.1	AAL156Cp		4618531	AGOS_AAL156C	1524	1524	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	71775	73298	-	NP_982386.1		NM_207739.1	AAL156Cp		4618531	AGOS_AAL156C	1524	507	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	73598	74134	+						4618614	AGOS_AAL155W	537		partial;old_locus_tag=AAL155W
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	73598	74134	+	NM_207740.1		NP_982387.1	AAL155Wp		4618614	AGOS_AAL155W	537	537	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	73598	74134	+	NP_982387.1		NM_207740.1	AAL155Wp		4618614	AGOS_AAL155W	537	178	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	74156	75007	-						4618580	AGOS_AAL154C	852		partial;old_locus_tag=AAL154C
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	74156	75007	-	NM_207741.1		NP_982388.1	AAL154Cp		4618580	AGOS_AAL154C	852	852	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	74156	75007	-	NP_982388.1		NM_207741.1	AAL154Cp		4618580	AGOS_AAL154C	852	283	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	75086	76345	-						4618444	AGOS_AAL153C	1260		partial;old_locus_tag=AAL153C
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	75086	76345	-	NM_207742.1		NP_982389.1	AAL153Cp		4618444	AGOS_AAL153C	1260	1260	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	75086	76345	-	NP_982389.1		NM_207742.1	AAL153Cp		4618444	AGOS_AAL153C	1260	419	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	77508	79871	+						4618484	AGOS_AAL152W	2364		partial;old_locus_tag=AAL152W
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	77508	79871	+	NM_207743.1		NP_982390.1	AAL152Wp		4618484	AGOS_AAL152W	2364	2364	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	77508	79871	+	NP_982390.1		NM_207743.1	AAL152Wp		4618484	AGOS_AAL152W	2364	787	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	80213	80533	-						4618496	AGOS_AAL151C	321		partial;old_locus_tag=AAL151C
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	80213	80533	-	NM_207744.1		NP_982391.1	AAL151Cp		4618496	AGOS_AAL151C	321	321	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	80213	80533	-	NP_982391.1		NM_207744.1	AAL151Cp		4618496	AGOS_AAL151C	321	106	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	80894	82015	+						4618578	AGOS_AAL150W	1122		partial;old_locus_tag=AAL150W
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	80894	82015	+	NM_207745.1		NP_982392.1	AAL150Wp		4618578	AGOS_AAL150W	1122	1122	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	80894	82015	+	NP_982392.1		NM_207745.1	AAL150Wp		4618578	AGOS_AAL150W	1122	373	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	82194	84065	-						4618728	AGOS_AAL149C	1872		partial;old_locus_tag=AAL149C
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	82194	84065	-	NM_207746.1		NP_982393.1	AAL149Cp		4618728	AGOS_AAL149C	1872	1872	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	82194	84065	-	NP_982393.1		NM_207746.1	AAL149Cp		4618728	AGOS_AAL149C	1872	623	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	84528	85742	+						4618730	AGOS_AAL148W	1215		partial;old_locus_tag=AAL148W
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	84528	85742	+	NM_207747.1		NP_982394.1	AAL148Wp		4618730	AGOS_AAL148W	1215	1215	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	84528	85742	+	NP_982394.1		NM_207747.1	AAL148Wp		4618730	AGOS_AAL148W	1215	404	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	85927	91368	-						4618636	AGOS_AAL147C	5442		partial;old_locus_tag=AAL147C
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	85927	91368	-	NM_207748.2		NP_982395.2	AAL147Cp		4618636	AGOS_AAL147C	5442	5442	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	85927	91368	-	NP_982395.2		NM_207748.2	AAL147Cp		4618636	AGOS_AAL147C	5442	1813	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	92509	98211	+						4618525	AGOS_AAL146W	5703		partial;old_locus_tag=AAL146W
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	92509	98211	+	NM_207749.1		NP_982396.1	AAL146Wp		4618525	AGOS_AAL146W	5703	5703	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	92509	98211	+	NP_982396.1		NM_207749.1	AAL146Wp		4618525	AGOS_AAL146W	5703	1900	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	98539	98983	+						4618560	AGOS_AAL145W	445		partial;old_locus_tag=AAL145W
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	98539	98983	+	NM_207750.1		NP_982397.1	AAL145Wp		4618560	AGOS_AAL145W	201	201	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	98539	98983	+	NP_982397.1		NM_207750.1	AAL145Wp		4618560	AGOS_AAL145W	201	66	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	99351	99662	-						4618482	AGOS_AAL144C	312		partial;old_locus_tag=AAL144C
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	99351	99662	-	NM_207751.1		NP_982398.1	AAL144Cp		4618482	AGOS_AAL144C	312	312	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	99351	99662	-	NP_982398.1		NM_207751.1	AAL144Cp		4618482	AGOS_AAL144C	312	103	
gene	tRNA	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	99806	99876	+						4618570	AGOS_t0002	71		
tRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	99806	99876	+				tRNA-Gly		4618570	AGOS_t0002	71		
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	100017	100635	+						4618593	AGOS_AAL143W	619		partial;old_locus_tag=AAL143W
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	100017	100635	+	NM_207752.1		NP_982399.1	AAL143Wp		4618593	AGOS_AAL143W	558	558	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	100017	100635	+	NP_982399.1		NM_207752.1	AAL143Wp		4618593	AGOS_AAL143W	558	185	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	100759	101190	-						4618449	AGOS_AAL142C	432		partial;old_locus_tag=AAL142C
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	100759	101190	-	NM_207753.2		NP_982400.2	AAL142Cp		4618449	AGOS_AAL142C	432	432	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	100759	101190	-	NP_982400.2		NM_207753.2	AAL142Cp		4618449	AGOS_AAL142C	432	143	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	101503	102996	-						4618669	AGOS_AAL141C	1494		partial;old_locus_tag=AAL141C
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	101503	102996	-	NM_207754.1		NP_982401.1	AAL141Cp		4618669	AGOS_AAL141C	1494	1494	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	101503	102996	-	NP_982401.1		NM_207754.1	AAL141Cp		4618669	AGOS_AAL141C	1494	497	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	103420	104970	-						4618691	AGOS_AAL140C	1551		partial;old_locus_tag=AAL140C
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	103420	104970	-	NM_207755.1		NP_982402.1	AAL140Cp		4618691	AGOS_AAL140C	1551	1551	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	103420	104970	-	NP_982402.1		NM_207755.1	AAL140Cp		4618691	AGOS_AAL140C	1551	516	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	105162	107222	-						4618498	AGOS_AAL139C	2061		partial;old_locus_tag=AAL139C
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	105162	107222	-	NM_207756.1		NP_982403.1	AAL139Cp		4618498	AGOS_AAL139C	2061	2061	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	105162	107222	-	NP_982403.1		NM_207756.1	AAL139Cp		4618498	AGOS_AAL139C	2061	686	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	107399	108322	-						4618644	AGOS_AAL138C	924		partial;old_locus_tag=AAL138C
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	107399	108322	-	NM_207757.1		NP_982404.1	AAL138Cp		4618644	AGOS_AAL138C	924	924	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	107399	108322	-	NP_982404.1		NM_207757.1	AAL138Cp		4618644	AGOS_AAL138C	924	307	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	108988	109983	+						4618464	AGOS_AAL137W	996		partial;old_locus_tag=AAL137W
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	108988	109983	+	NM_207758.1		NP_982405.1	AAL137Wp		4618464	AGOS_AAL137W	996	996	partial
